SPA Эко,5000,4000,3000
SPA Эко 2,10000,8000,6000
32+18,SPA - уход «Принцесса сиама»+Программы для лица и головы «Лицо»,120,1,7600
43+19,Программы для похудения «Слим»+Программы для лица и головы «Голова»,90,1,6800
22+2,Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6400
8+12,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж «Тай Оил»,120,1,7200
23+43,Программы для рук и ног «Ноги»+Программы для похудения «Слим»,90,1,6800
18+44,Программы для лица и головы «Лицо»+Программы для похудения «Слим и тай ойл»,120,1,7600
18+2,Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6400
18+5,Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»,120,1,6400
20+43,Программы для лица и головы «Лицо и голова»+Программы для похудения «Слим»,90,1,6800
14,Relax массаж «Тай Оил»,120,1,6400
43+18,Программы для похудения «Слим»+Программы для лица и головы «Лицо»,90,1,6800
11,Массаж с проработкой «Спорт-oil»,90,1,6000
10+24,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Ноги»,120,1,7200
23+11,Программы для рук и ног «Ноги»+Массаж с проработкой «Спорт-oil»,120,1,8000
19+13,Программы для лица и головы «Голова»+Relax массаж «Тай Оил»,120,1,6800
SPA Эко 2,10000,8000,6000
6+19+1,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»",120,1,7200
6+10,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Спорт-oil»",90,1,6000
15+18,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Лицо»,120,1,7200
17+19,Relax массаж Стоун+Программы для лица и головы «Голова»,120,1,6800
23+20+1,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
22+17,Программы для рук и ног «Руки»+Relax массаж Стоун,120,1,6800
44+23,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Ноги»,120,1,7600
44+19,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Голова»,120,1,7600
18+32,Программы для лица и головы «Лицо»+SPA - уход «Принцесса сиама»,120,1,7600
20+3,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,7600
43+6,"Программы для похудения «Слим»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,6800
12+7,"Relax массаж «Тай Оил»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,6800
12+4,Relax массаж «Тай Оил»+Массаж с проработкой «Восстанавливающий»,120,1,6800
SPA Эко 2,10000,8000,6000
32+22,SPA - уход «Принцесса сиама»+Программы для рук и ног «Руки»,120,1,7600
10+7,"Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,7200
4+10,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спорт-oil»,120,1,7200
17+7,"Relax массаж Стоун+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,8000
46,Программы для похудения «Имбирный коктейль»,120,1,8000
12+8,Relax массаж «Тай Оил»+Массаж с проработкой «Тай + травяные мешочки»,120,1,7200
10+24,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Ноги»,120,1,7200
10+4,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Восстанавливающий»,120,1,7200
44+22,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Руки»,120,1,7600
20+43,Программы для лица и головы «Лицо и голова»+Программы для похудения «Слим»,90,1,6800
SPA Норм 2,16000,12800,9600
12+33,Relax массаж «Тай Оил»+SPA - уход «Королевская спа программа»,180,1,10000
8+12+3,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
20+43+1,Программы для лица и головы «Лицо и голова»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,10000
15+33,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Королевская спа программа»,210,1,11600
8+22+2,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
20+7+3,"Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,10800
15+22+2,Relax массаж Тай Оил + травяные мешочки+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
4+21+1,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
1+16,Массаж с проработкой «Традиционный Тайский (Тай)»+Relax массаж Тай Оил + травяные мешочки,180,1,10000
8+32+1,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
33+23+1,SPA - уход «Королевская спа программа»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
31+18+2,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
SPA Норм 2,16000,12800,9600
28+31,Массаж в 4 руки «Тай Ойл в 4 руки»+SPA - уход «Бархатное прикосновение»,120,1,10800
19+31+2,Программы для лица и головы «Голова»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
17+44,Relax массаж Стоун+Программы для похудения «Слим и тай ойл»,180,1,10400
1+46,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Имбирный коктейль»,180,1,11200
23+18+2+5,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
1+35,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Целебные травы»,240,1,12000
19+36,Программы для лица и головы «Голова»+SPA - уход «Обновление и тонус»,240,1,12800
29,Массаж в 4 руки «Тай Ойл в 4 руки»,90,1,9600
23+5+2+6,"Программы для рук и ног «Ноги»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
4+3+6,"Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,10800
23+22+3,Программы для рук и ног «Ноги»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
1+20+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Восстанавливающий»,180,1,9600
12+46,Relax массаж «Тай Оил»+Программы для похудения «Имбирный коктейль»,180,1,11600
SPA Норм 2,16000,12800,9600
33+21,SPA - уход «Королевская спа программа»+Программы для лица и головы «Лицо и голова»,180,1,10000
10+12+1,Массаж с проработкой «Спорт-oil»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10800
4+22+2,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
6+34+1,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Мужской комплимент»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,11600
32+31+1,SPA - уход «Принцесса сиама»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
22+45,Программы для рук и ног «Руки»+Программы для похудения «Талассотерапия»,150,1,10000
10+34,Массаж с проработкой «Спорт-oil»+SPA - уход «Мужской комплимент»,180,1,10400
22+6+3,"Программы для рук и ног «Руки»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
8+46,Массаж с проработкой «Тай + травяные мешочки»+Программы для похудения «Имбирный коктейль»,180,1,11600
25+43,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Слим»,120,1,11200
32+15,SPA - уход «Принцесса сиама»+Relax массаж Тай Оил + травяные мешочки,180,1,10800
33+4,SPA - уход «Королевская спа программа»+Массаж с проработкой «Восстанавливающий»,180,1,9600
SPA Норм 2,16000,12800,9600
32+10,SPA - уход «Принцесса сиама»+Массаж с проработкой «Спорт-oil»,150,1,9600
18+19+2+4,Программы для лица и головы «Лицо»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
33+1,SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
12+1+4,Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,10000
20+45,Программы для лица и головы «Лицо и голова»+Программы для похудения «Талассотерапия»,150,1,10000
1+18+4+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,11600
28+8,Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Тай + травяные мешочки»,120,1,10800
8+4+1,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
33+44,SPA - уход «Королевская спа программа»+Программы для похудения «Слим и тай ойл»,210,1,12000
6+45,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Талассотерапия»",150,1,10000
19+45,Программы для лица и головы «Голова»+Программы для похудения «Талассотерапия»,150,1,10000
22+29,Программы для рук и ног «Руки»+Массаж в 4 руки «Тай Ойл в 4 руки»,120,1,11600
20+44+1,Программы для лица и головы «Лицо и голова»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10800
18+29,Программы для лица и головы «Лицо»+Массаж в 4 руки «Тай Ойл в 4 руки»,120,1,11600
SPA Норм 2,16000,12800,9600
19+8+3,Программы для лица и головы «Голова»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
17+8+1,Relax массаж Стоун+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
1+4+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",180,1,9600
43+3,Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10400
34+31,SPA - уход «Мужской комплимент»+SPA - уход «Бархатное прикосновение»,180,1,10000
1+8+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»,180,1,10000
6+35,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Целебные травы»",210,1,10800
20+29,Программы для лица и головы «Лицо и голова»+Массаж в 4 руки «Тай Ойл в 4 руки»,120,1,11600
22+43+1,Программы для рук и ног «Руки»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,10000
4+45,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Талассотерапия»,180,1,11200
SPA Норм 2,16000,12800,9600
17+43+1,Relax массаж Стоун+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
31+19+1+4,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,12000
25+15,Массаж в 4 руки «Тай в 4 руки»+Relax массаж Тай Оил + травяные мешочки,150,1,11600
25+10,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Спорт-oil»,120,1,10400
46+4,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Восстанавливающий»,180,1,11200
17+45,Relax массаж Стоун+Программы для похудения «Талассотерапия»,210,1,12800
15+3,Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,10800
23+17+2,Программы для рук и ног «Ноги»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
10+45,Массаж с проработкой «Спорт-oil»+Программы для похудения «Талассотерапия»,180,1,12000
8+3+4,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12400
45+18,Программы для похудения «Талассотерапия»+Программы для лица и головы «Лицо»,150,1,10000
22+12+2,Программы для рук и ног «Руки»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
19+44+1,Программы для лица и головы «Голова»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10800
43+33,Программы для похудения «Слим»+SPA - уход «Королевская спа программа»,180,1,11200
SPA Норм 2,16000,12800,9600
33+1+4,SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
33+7,"SPA - уход «Королевская спа программа»+Массаж с проработкой «Спина, Шея, и Плечи»",180,1,9600
10+21+2,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
20+5+1+6,"Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,11600
6+44+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,12000
43+24+2,Программы для похудения «Слим»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
20+18+1+4+6,"Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12400
10+31+2,Массаж с проработкой «Спорт-oil»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
1+17+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Relax массаж Стоун+Массаж с проработкой «Восстанавливающий»,240,1,12400
43+17,Программы для похудения «Слим»+Relax массаж Стоун,150,1,9600
45+21,Программы для похудения «Талассотерапия»+Программы для лица и головы «Лицо и голова»,180,1,11600
31+22+2,SPA - уход «Бархатное прикосновение»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
SPA Норм 2,16000,12800,9600
17+43,Relax массаж Стоун+Программы для похудения «Слим»,150,1,9600
45+31,Программы для похудения «Талассотерапия»+SPA - уход «Бархатное прикосновение»,180,1,11600
18+31+3,Программы для лица и головы «Лицо»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
28+7,"Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,10400
8+4+1+6,"Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12000
23+29,Программы для рук и ног «Ноги»+Массаж в 4 руки «Тай Ойл в 4 руки»,120,1,11600
44+10,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Спорт-oil»,150,1,9600
36+22,SPA - уход «Обновление и тонус»+Программы для рук и ног «Руки»,240,1,12800
12+11+1,Relax массаж «Тай Оил»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
19+17+3,Программы для лица и головы «Голова»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
43+19+2,Программы для похудения «Слим»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
22+17+2,Программы для рук и ног «Руки»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
23+46,Программы для рук и ног «Ноги»+Программы для похудения «Имбирный коктейль»,150,1,10000
SPA Норм 2,16000,12800,9600
22+35,Программы для рук и ног «Руки»+SPA - уход «Целебные травы»,210,1,10800
10+7+1,"Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,10400
15+19+2,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
43+31+2,Программы для похудения «Слим»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
25+44,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Слим и тай ойл»,150,1,12000
8+34,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Мужской комплимент»,180,1,10000
6+36,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Обновление и тонус»",240,1,12800
1+32+4,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Восстанавливающий»,210,1,12000
32+44,SPA - уход «Принцесса сиама»+Программы для похудения «Слим и тай ойл»,180,1,11200
4+34,Массаж с проработкой «Восстанавливающий»+SPA - уход «Мужской комплимент»,180,1,9600
SPA Норм 2,16000,12800,9600
23+1+5+7,"Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
12+24+3,Relax массаж «Тай Оил»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
6+5+1,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
36+23,SPA - уход «Обновление и тонус»+Программы для рук и ног «Ноги»,240,1,12800
31+21+2,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
1+14,Массаж с проработкой «Традиционный Тайский (Тай)»+Relax массаж «Тай Оил»,180,1,9600
18+6+3,"Программы для лица и головы «Лицо»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
19+13+1,Программы для лица и головы «Голова»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
19+1+4+6,"Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",180,1,10400
34+33,SPA - уход «Мужской комплимент»+SPA - уход «Королевская спа программа»,240,1,12800
35+31,SPA - уход «Целебные травы»+SPA - уход «Бархатное прикосновение»,240,1,12400
SPA Норм 2,16000,12800,9600
15+34,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Мужской комплимент»,210,1,11600
32+17,SPA - уход «Принцесса сиама»+Relax массаж Стоун,180,1,10400
20+22+1+4,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,10400
36+6,"SPA - уход «Обновление и тонус»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
35+6,"SPA - уход «Целебные травы»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,10800
20+36,Программы для лица и головы «Лицо и голова»+SPA - уход «Обновление и тонус»,240,1,12800
18+20+1+5,Программы для лица и головы «Лицо»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
36+20,SPA - уход «Обновление и тонус»+Программы для лица и головы «Лицо и голова»,240,1,12800
10+33,Массаж с проработкой «Спорт-oil»+SPA - уход «Королевская спа программа»,180,1,10400
6+18+3+4,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",240,1,12800
20+33+1,Программы для лица и головы «Лицо и голова»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
1+20+5+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
20+14+2,Программы для лица и головы «Лицо и голова»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
25+7+1,"Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,12800
17+19+1,Relax массаж Стоун+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
SPA Норм 2,16000,12800,9600
10+44,Массаж с проработкой «Спорт-oil»+Программы для похудения «Слим и тай ойл»,150,1,9600
33+17,SPA - уход «Королевская спа программа»+Relax массаж Стоун,210,1,11200
34+18+1,SPA - уход «Мужской комплимент»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
22+4+3+6,"Программы для рук и ног «Руки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
15+17,Relax массаж Тай Оил + травяные мешочки+Relax массаж Стоун,180,1,10000
15+9,Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Тай + травяные мешочки»,180,1,10000
36+19,SPA - уход «Обновление и тонус»+Программы для лица и головы «Голова»,240,1,12800
18+2+5,Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,10800
34+32,SPA - уход «Мужской комплимент»+SPA - уход «Принцесса сиама»,210,1,12000
33+18+1,SPA - уход «Королевская спа программа»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
22+36,Программы для рук и ног «Руки»+SPA - уход «Обновление и тонус»,240,1,12800
23+6+2+4,"Программы для рук и ног «Ноги»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",210,1,11600
SPA Норм 2,16000,12800,9600
20+17+2,Программы для лица и головы «Лицо и голова»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
34+44,SPA - уход «Мужской комплимент»+Программы для похудения «Слим и тай ойл»,210,1,12000
25+9,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Тай + травяные мешочки»,150,1,11200
33+32,SPA - уход «Королевская спа программа»+SPA - уход «Принцесса сиама»,210,1,12000
34+20+1,SPA - уход «Мужской комплимент»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
18+24+1+4,Программы для лица и головы «Лицо»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
12+22+1+4,Relax массаж «Тай Оил»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,12000
46+9,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Тай + травяные мешочки»,210,1,12800
4+19+2,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
25+17,Массаж в 4 руки «Тай в 4 руки»+Relax массаж Стоун,150,1,11200
10+24+3,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
SPA Норм 2,16000,12800,9600
28+3,Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,12800
17+18+2,Relax массаж Стоун+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
25+4+1,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,12800
45+17,Программы для похудения «Талассотерапия»+Relax массаж Стоун,210,1,12800
20+18+1+4,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,10400
44+16,Программы для похудения «Слим и тай ойл»+Relax массаж Тай Оил + травяные мешочки,210,1,12400
10+25,Массаж с проработкой «Спорт-oil»+Массаж в 4 руки «Тай в 4 руки»,120,1,10400
33+9,SPA - уход «Королевская спа программа»+Массаж с проработкой «Тай + травяные мешочки»,210,1,11200
20+19+1+5,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
31+25,SPA - уход «Бархатное прикосновение»+Массаж в 4 руки «Тай в 4 руки»,120,1,10000
SPA Норм 2,16000,12800,9600
33+43,SPA - уход «Королевская спа программа»+Программы для похудения «Слим»,180,1,11200
31+35,SPA - уход «Бархатное прикосновение»+SPA - уход «Целебные травы»,240,1,12400
8+17+2,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
31+10+2,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
34+11,SPA - уход «Мужской комплимент»+Массаж с проработкой «Спорт-oil»,210,1,12400
4+10+3,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
18+17+2,Программы для лица и головы «Лицо»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
19+4+2,Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
1+34,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Мужской комплимент»,180,1,9600
18+43+2,Программы для лица и головы «Лицо»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
23+45,Программы для рук и ног «Ноги»+Программы для похудения «Талассотерапия»,150,1,10000
SPA Норм 2,16000,12800,9600
44+7+1,"Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,12000
23+44+2,Программы для рук и ног «Ноги»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
12+1+4+6,"Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12000
